Date,Product_ID,Predicted_Demand,Price,Discount,Scenario
2024-01-02,P0001,625.4568259597445,51.78051,9.933333333333334,price_cut
2024-01-03,P0001,593.5294032255349,51.78051,9.933333333333334,price_cut
2024-01-04,P0001,591.9678029092706,51.78051,9.933333333333334,price_cut
2024-01-05,P0001,596.2374730222637,51.78051,9.933333333333334,price_cut
2024-01-06,P0001,594.48164068744,51.78051,9.933333333333334,price_cut
2024-01-07,P0001,608.7115717460053,51.78051,9.933333333333334,price_cut
2024-01-08,P0001,611.5987398240954,51.78051,9.933333333333334,price_cut
2024-01-09,P0001,601.1435144973595,51.78051,9.933333333333334,price_cut
2024-01-10,P0001,601.6390881526117,51.78051,9.933333333333334,price_cut
2024-01-11,P0001,601.7468119785717,51.78051,9.933333333333334,price_cut
2024-01-12,P0001,601.5779244305047,51.78051,9.933333333333334,price_cut
2024-01-13,P0001,601.6949581519434,51.78051,9.933333333333334,price_cut
2024-01-14,P0001,601.05361081666,51.78051,9.933333333333334,price_cut
2024-01-15,P0001,600.9504568186776,51.78051,9.933333333333334,price_cut
2024-01-16,P0001,601.4803666083915,51.78051,9.933333333333334,price_cut
2024-01-17,P0001,601.4907741540055,51.78051,9.933333333333334,price_cut
2024-01-18,P0001,601.5196302220666,51.78051,9.933333333333334,price_cut
2024-01-19,P0001,601.5616572161625,51.78051,9.933333333333334,price_cut
2024-01-20,P0001,601.5901663419024,51.78051,9.933333333333334,price_cut
2024-01-21,P0001,601.6547034707789,51.78051,9.933333333333334,price_cut
2024-01-02,P0002,575.2158602573777,50.528663333333334,9.633333333333333,price_cut
2024-01-03,P0002,481.0818125706837,50.528663333333334,9.633333333333333,price_cut
2024-01-04,P0002,480.45535022507306,50.528663333333334,9.633333333333333,price_cut
2024-01-05,P0002,493.4252464365708,50.528663333333334,9.633333333333333,price_cut
2024-01-06,P0002,487.9224449379493,50.528663333333334,9.633333333333333,price_cut
2024-01-07,P0002,480.19947520000676,50.528663333333334,9.633333333333333,price_cut
2024-01-08,P0002,481.07354050124115,50.528663333333334,9.633333333333333,price_cut
2024-01-09,P0002,484.51623141912296,50.528663333333334,9.633333333333333,price_cut
2024-01-10,P0002,484.15589504912464,50.528663333333334,9.633333333333333,price_cut
